,doc_id,word,pos_tag,event,argument,coordinate,admin_level
0,0,Kerabat,NNP,O,O,,
1,0,Layat,NNP,O,O,,
2,0,Jasad,NNP,O,O,,
3,0,Jerry,NNP,O,O,,
4,0,Wong,NNP,O,O,,
5,0,Pengemudi,NNP,O,O,,
6,0,Mini,NNP,B-ARG,Vehicle-Arg,,
7,0,Cooper,NNP,I-ARG,Vehicle-Arg,,
8,0,di,IN,O,O,,
9,0,RSCM,NN,B-ORG,Hospital-Arg,,
10,0,-,-,O,O,,
11,0,-,NNP,O,O,,
12,0,Jakarta,NNP,B-PLOC,Published-Arg,"(-6.197602429787846, 106.83139222722116)",1
13,0,-,-,O,O,,
14,0,Jenazah,NNP,O,O,,
15,0,Jerry,NNP,O,O,,
16,0,Wong,NNP,O,O,,
17,0,",",",",O,O,,
18,0,pengemudi,NN,O,O,,
19,0,Mini,NNP,B-ARG,Vehicle-Arg,,
20,0,Cooper,NNP,I-ARG,Vehicle-Arg,,
21,0,yang,SC,O,O,,
22,0,menabrak,VBT,B-EVE,ACCIDENT-EVENT,,
23,0,bagian,O,O,,,
24,0,belakang,NN,O,O,,
25,0,truk,NN,B-ARG,Vehicle-Arg,,
26,0,",",",",O,O,,
27,0,kini,RB,O,O,,
28,0,berada,VBI,O,O,,
29,0,di,IN,O,O,,
30,0,RSCM,NNP,B-ORG,Hospital-Arg,,
31,0,Sekitar,CDI,O,O,,
32,0,15,CDP,O,O,,
33,0,kerabat,NN,O,O,,
34,0,dan,CC,O,O,,
35,0,teman,NN,O,O,,
36,0,datang,VBI,O,O,,
37,0,melayat,VBT,O,O,,
38,0,Pantauan,IN,O,O,,
39,0,detikcom,NN,B-ORG,Reporter-Arg,,
40,0,di,IN,O,O,,
41,0,kamar,NN,O,O,,
42,0,jenazah,NN,O,O,,
43,0,RSCM,NNP,B-ORG,Hospital-Arg,,
44,0,",",",",O,O,,
45,0,Jalan,NN,B-ARG,Street-Arg,,
46,0,Salemba,NNP,I-ARG,Street-Arg,,
47,0,",",",",O,O,,
48,0,Jakarta,NNP,B-PLOC,Place-Arg,"(-6.1780125136691195, 106.83773321392438)",2
49,0,Pusat,NNP,I-PLOC,Place-Arg,,
50,0,",",",",O,O,,
51,0,Jumat,NNP,B-ARG,Time-Arg,,
52,0,(,OP,O,O,,
53,0,16/5/2014,DD,B-ARG,Time-Arg,,
54,0,),CP,O,O,,
55,0,",",",",O,O,,
56,0,jasad,NN,O,O,,
57,0,Jerry,NNP,O,O,,
58,0,ditutup,VB,O,O,,
59,0,kain,NN,O,O,,
60,0,jarik,NN,O,O,,
61,0,cokelat,JJ,O,O,,
62,0,",",",",O,O,,
63,0,dikelilingi,VBT,O,O,,
64,0,kerabatnya,NN,O,O,,
65,0,Ada,VB,O,O,,
66,0,seorang,NN,O,O,,
67,0,kerabat,NN,O,O,,
68,0,Jerry,NNP,O,O,,
69,0,",",",",O,O,,
70,0,Dodi,NN,O,O,,
71,0,yang,SC,O,O,,
72,0,mengenang,VBT,O,O,,
73,0,Jerry,NN,O,O,,
74,0,sebagai,IN,O,O,,
75,0,orang,NN,O,O,,
76,0,yang,SC,O,O,,
77,0,baik,JJ,O,O,,
78,0,dan,CC,O,O,,
79,0,banyak,CD,O,O,,
80,0,teman,NN,O,O,,
81,0,"""","""",O,O,,
82,0,Jerry,NN,O,O,,
83,0,tadi,NN,O,O,,
84,0,perjalanan,NN,O,O,,
85,0,dari,IN,O,O,,
86,0,rumah,NN,O,O,,
87,0,temannya,NNG,O,O,,
88,0,",",",",O,O,,
89,0,mau,MD,O,O,,
90,0,pulang,VBI,O,O,,
91,0,ke,IN,O,O,,
92,0,rumahnya,NN,O,O,,
93,0,di,IN,O,O,,
94,0,daerah,NN,O,O,,
95,0,Pluit,NNP,B-PLOC,To-Arg,"(-6.113297962451269, 106.78672611344551)",4
96,0,Jerry,NN,O,O,,
97,0,ini,DT,O,O,,
98,0,orangnya,NN,O,O,,
99,0,baik,JJ,O,O,,
100,0,",",",",O,O,,
101,0,temannya,NNG,O,O,,
102,0,banyak,JJ,O,O,,
103,0,",",",",O,O,,
104,0,kebetulan,NN,O,O,,
105,0,saya,PRP,O,O,,
106,0,teman,NN,O,O,,
107,0,main,NN,O,O,,
108,0,futsal,JJ,O,O,,
109,0,di,IN,O,O,,
110,0,Kuningan,NN,B-PLOC,Place-Arg,"(-6.235976199075322, 106.82213128724581)",4
111,0,",",",",O,O,,
112,0,"""","""",O,O,,
113,0,kata,VB,O,O,,
114,0,dia,PRP,O,O,,
115,0,Sedang,NN,O,O,,
116,0,kerabatnya,NN,O,O,,
117,0,lainnya,NNG,O,O,,
118,0,enggan,RB,O,O,,
119,0,memberikan,VB,O,O,,
120,0,keterangan,NN,O,O,,
121,0,"""","""",O,O,,
122,0,Saya,PRP,O,O,,
123,0,nggak,NN,O,O,,
124,0,tahu,VBI,O,O,,
125,0,apa,WP,O,O,,
126,0,-,-,O,O,,
127,0,apa,WP,O,O,,
128,0,",",",",O,O,,
129,0,kami,PRP,O,O,,
130,0,sedang,RB,O,O,,
131,0,berduka,VB,O,O,,
132,0,",",",",O,O,,
133,0,"""","""",O,O,,
134,0,begitu,RB,O,O,,
135,0,pinta,NN,O,O,,
136,0,seorang,NN,O,O,,
137,0,kerabat,NN,O,O,,
138,0,Mini,NN,B-ARG,Vehicle-Arg,,
139,0,Cooper,NNP,I-ARG,Vehicle-Arg,,
140,0,bernopol,VB,O,O,,
141,0,B,SYM,B-ARG,Plate-Arg,,
142,0,226,CD,I-ARG,Plate-Arg,,
143,0,NUK,NN,I-ARG,Plate-Arg,,
144,0,yang,SC,O,O,,
145,0,dikemudikan,VBT,O,O,,
146,0,Jerry,NNP,O,O,,
147,0,Wong,NNP,O,O,,
148,0,menghantam,VBT,B-EVE,ACCIDENT-EVENT,,
149,0,keras,JJ,O,O,,
150,0,bagian,O,O,,,
151,0,belakang,NN,O,O,,
152,0,truk,NN,B-ARG,Vehicle-Arg,,
153,0,wing,FW,O,O,,
154,0,box,MD,O,O,,
155,0,bernopol,VB,O,O,,
156,0,B,SYM,B-ARG,Plate-Arg,,
157,0,9667,CDP,I-ARG,Plate-Arg,,
158,0,ZX,NN,I-ARG,Plate-Arg,,
159,0,di,IN,O,O,,
160,0,Km,NN,B-ARG,Point-Arg,,
161,0,24+800,NN,I-ARG,Point-Arg,,
162,0,dari,IN,O,O,,
163,0,Pluit,NN,B-LOC,From-Arg,"(-6.113297962451269, 106.78672611344551)",4
164,0,arah,NN,O,O,,
165,0,Bandara,NNP,B-ORG,To-Arg,,
166,0,Soekarno,NNP,I-ORG,To-Arg,,
