,Unnamed: 0,doc_id,word,pos_tag,event,argument,coordinate,admin_level,phase_one_label
0,0.0,0.0,Kerabat,NNP,O,O,,,
1,1.0,0.0,Layat,NNP,O,O,,,
2,2.0,0.0,Jasad,NNP,O,O,,,
3,3.0,0.0,Jerry,NNP,O,O,,,
4,4.0,0.0,Wong,NNP,O,O,,,
5,5.0,0.0,Pengemudi,NNP,O,O,,,
6,6.0,0.0,Mini,NNP,B-ARG,Vehicle-Arg,,,Argument_Candidate
7,7.0,0.0,Cooper,NNP,I-ARG,Vehicle-Arg,,,Argument_Candidate
8,8.0,0.0,di,IN,O,O,,,
9,9.0,0.0,RSCM,NN,B-ORG,Hospital-Arg,,,Argument_Candidate
10,10.0,0.0,-,-,O,O,,,
11,11.0,0.0,-,NNP,O,O,,,
12,12.0,0.0,Jakarta,NNP,B-PLOC,Published-Arg,"(-6.197602429787846, 106.83139222722116)",1.0,Argument_Candidate
13,13.0,0.0,-,-,O,O,,,
14,14.0,0.0,Jenazah,NNP,O,O,,,
15,15.0,0.0,Jerry,NNP,O,O,,,
16,16.0,0.0,Wong,NNP,O,O,,,
17,17.0,0.0,",",",",O,O,,,
18,18.0,0.0,pengemudi,NN,O,O,,,
19,19.0,0.0,Mini,NNP,B-ARG,Vehicle-Arg,,,Argument_Candidate
20,20.0,0.0,Cooper,NNP,I-ARG,Vehicle-Arg,,,Argument_Candidate
21,21.0,0.0,yang,SC,O,O,,,
22,22.0,0.0,menabrak,VBT,B-EVE,ACCIDENT-EVENT,,,Trigger_Candidate
23,23.0,0.0,bagian,O,O,,,,None
24,24.0,0.0,belakang,NN,O,O,,,
25,25.0,0.0,truk,NN,B-ARG,Vehicle-Arg,,,Argument_Candidate
26,26.0,0.0,",",",",O,O,,,
27,27.0,0.0,kini,RB,O,O,,,
28,28.0,0.0,berada,VBI,O,O,,,
29,29.0,0.0,di,IN,O,O,,,
30,30.0,0.0,RSCM,NNP,B-ORG,Hospital-Arg,,,Argument_Candidate
31,31.0,0.0,Sekitar,CDI,O,O,,,
32,32.0,0.0,15,CDP,O,O,,,
33,33.0,0.0,kerabat,NN,O,O,,,
34,34.0,0.0,dan,CC,O,O,,,
35,35.0,0.0,teman,NN,O,O,,,
36,36.0,0.0,datang,VBI,O,O,,,
37,37.0,0.0,melayat,VBT,O,O,,,
38,38.0,0.0,Pantauan,IN,O,O,,,
39,39.0,0.0,detikcom,NN,B-ORG,Reporter-Arg,,,Argument_Candidate
40,40.0,0.0,di,IN,O,O,,,
41,41.0,0.0,kamar,NN,O,O,,,
42,42.0,0.0,jenazah,NN,O,O,,,
43,43.0,0.0,RSCM,NNP,B-ORG,Hospital-Arg,,,Argument_Candidate
44,44.0,0.0,",",",",O,O,,,
45,45.0,0.0,Jalan,NN,B-ARG,Street-Arg,,,Argument_Candidate
46,46.0,0.0,Salemba,NNP,I-ARG,Street-Arg,,,Argument_Candidate
47,47.0,0.0,",",",",O,O,,,
48,48.0,0.0,Jakarta,NNP,B-PLOC,Place-Arg,"(-6.1780125136691195, 106.83773321392438)",2.0,Argument_Candidate
49,49.0,0.0,Pusat,NNP,I-PLOC,Place-Arg,,,Argument_Candidate
50,50.0,0.0,",",",",O,O,,,
51,51.0,0.0,Jumat,NNP,B-ARG,Time-Arg,,,Argument_Candidate
52,52.0,0.0,(,OP,O,O,,,
53,53.0,0.0,16/5/2014,DD,B-ARG,Time-Arg,,,Argument_Candidate
54,54.0,0.0,),CP,O,O,,,
55,55.0,0.0,",",",",O,O,,,
56,56.0,0.0,jasad,NN,O,O,,,
57,57.0,0.0,Jerry,NNP,O,O,,,
58,58.0,0.0,ditutup,VB,O,O,,,
59,59.0,0.0,kain,NN,O,O,,,
60,60.0,0.0,jarik,NN,O,O,,,
61,61.0,0.0,cokelat,JJ,O,O,,,
62,62.0,0.0,",",",",O,O,,,
63,63.0,0.0,dikelilingi,VBT,O,O,,,
64,64.0,0.0,kerabatnya,NN,O,O,,,
65,65.0,0.0,Ada,VB,O,O,,,
66,66.0,0.0,seorang,NN,O,O,,,
67,67.0,0.0,kerabat,NN,O,O,,,
68,68.0,0.0,Jerry,NNP,O,O,,,
69,69.0,0.0,",",",",O,O,,,
70,70.0,0.0,Dodi,NN,O,O,,,
71,71.0,0.0,yang,SC,O,O,,,
72,72.0,0.0,mengenang,VBT,O,O,,,
73,73.0,0.0,Jerry,NN,O,O,,,
74,74.0,0.0,sebagai,IN,O,O,,,
75,75.0,0.0,orang,NN,O,O,,,
76,76.0,0.0,yang,SC,O,O,,,
77,77.0,0.0,baik,JJ,O,O,,,
78,78.0,0.0,dan,CC,O,O,,,
79,79.0,0.0,banyak,CD,O,O,,,
80,80.0,0.0,teman,NN,O,O,,,
81,81.0,0.0,"""","""",O,O,,,
82,82.0,0.0,Jerry,NN,O,O,,,
83,83.0,0.0,tadi,NN,O,O,,,
84,84.0,0.0,perjalanan,NN,O,O,,,
85,85.0,0.0,dari,IN,O,O,,,
86,86.0,0.0,rumah,NN,O,O,,,
87,87.0,0.0,temannya,NNG,O,O,,,
88,88.0,0.0,",",",",O,O,,,
89,89.0,0.0,mau,MD,O,O,,,
90,90.0,0.0,pulang,VBI,O,O,,,
91,91.0,0.0,ke,IN,O,O,,,
92,92.0,0.0,rumahnya,NN,O,O,,,
93,93.0,0.0,di,IN,O,O,,,
94,94.0,0.0,daerah,NN,O,O,,,
95,95.0,0.0,Pluit,NNP,B-PLOC,To-Arg,"(-6.113297962451269, 106.78672611344551)",4.0,Argument_Candidate
96,96.0,0.0,Jerry,NN,O,O,,,
97,97.0,0.0,ini,DT,O,O,,,
98,98.0,0.0,orangnya,NN,O,O,,,
99,99.0,0.0,baik,JJ,O,O,,,
100,100.0,0.0,",",",",O,O,,,
101,101.0,0.0,temannya,NNG,O,O,,,
102,102.0,0.0,banyak,JJ,O,O,,,
103,103.0,0.0,",",",",O,O,,,
104,104.0,0.0,kebetulan,NN,O,O,,,
105,105.0,0.0,saya,PRP,O,O,,,
106,106.0,0.0,teman,NN,O,O,,,
107,107.0,0.0,main,NN,O,O,,,
108,108.0,0.0,futsal,JJ,O,O,,,
109,109.0,0.0,di,IN,O,O,,,
110,110.0,0.0,Kuningan,NN,B-PLOC,Place-Arg,"(-6.235976199075322, 106.82213128724581)",4.0,Argument_Candidate
111,111.0,0.0,",",",",O,O,,,
112,112.0,0.0,"""","""",O,O,,,
113,113.0,0.0,kata,VB,O,O,,,
114,114.0,0.0,dia,PRP,O,O,,,
115,115.0,0.0,Sedang,NN,O,O,,,
116,116.0,0.0,kerabatnya,NN,O,O,,,
117,117.0,0.0,lainnya,NNG,O,O,,,
118,118.0,0.0,enggan,RB,O,O,,,
119,119.0,0.0,memberikan,VB,O,O,,,
120,120.0,0.0,keterangan,NN,O,O,,,
